ID,Название,Описание,Цена,Изображение
1,Смартфон Galaxy S21,Смартфон с 6.2-дюймовым экраном и тройной камерой.,150,https://via.placeholder.com/200?text=Товар+1
2,Ноутбук Dell XPS 13,Мощный ноутбук с процессором Intel Core i7.,300,https://via.placeholder.com/200?text=Товар+2
3,Наушники Sony WH-1000XM4,Беспроводные наушники с активным шумоподавлением.,450,https://via.placeholder.com/200?text=Товар+3
4,Планшет Apple iPad Air,Планшет с Retina дисплеем и поддержкой Apple Pencil.,600,https://via.placeholder.com/200?text=Товар+4
5,Камера Canon EOS R5,Профессиональная беззеркальная камера с 45 МП.,750,https://via.placeholder.com/200?text=Товар+5
6,Часы Garmin Fenix 6,Спортивные часы с GPS и функцией мониторинга здоровья.,900,https://via.placeholder.com/200?text=Товар+6
7,Электрическая зубная щетка Oral-B,Электрическая зубная щетка с датчиком давления.,1050,https://via.placeholder.com/200?text=Товар+7
8,Геймпад Xbox Wireless,Беспроводной геймпад для консоли Xbox.,1200,https://via.placeholder.com/200?text=Товар+8
9,Монитор LG UltraWide 29,Широкоформатный монитор для продуктивной работы.,1350,https://via.placeholder.com/200?text=Товар+9
10,Клавиатура Logitech MX Keys,Клавиатура с подсветкой и бесшумными клавишами.,1000,https://via.placeholder.com/200?text=Товар+10
11,Мышь Razer DeathAdder V2,Игровая мышь с высокой чувствительностью.,1150,https://via.placeholder.com/200?text=Товар+11
12,Внешний жесткий диск Seagate,Внешний жесткий диск на 1 ТБ для хранения данных.,1300,https://via.placeholder.com/200?text=Товар+12
13,Умная колонка Amazon Echo,Умная колонка с поддержкой Alexa и Bluetooth.,1450,https://via.placeholder.com/200?text=Товар+13
14,Кофеварка De'Longhi Magnifica,Кофеварка с функцией приготовления капучино.,1600,https://via.placeholder.com/200?text=Товар+14
15,Холодильник Samsung Family Hub,Холодильник с сенсорным экраном и Wi-Fi.,1750,https://via.placeholder.com/200?text=Товар+15
16,Пылесос Dyson V11,Беспроводной пылесос с длительным временем работы.,1900,https://via.placeholder.com/200?text=Товар+16
17,Стиральная машина Bosch Serie 4,Стиральная машина с функцией сушения.,2050,https://via.placeholder.com/200?text=Товар+17
18,Микроволновая печь Panasonic,Микроволновая печь с инверторным управлением.,2200,https://via.placeholder.com/200?text=Товар+18
19,Фитнес-браслет Xiaomi Mi Band 6,Фитнес-браслет с мониторингом активности и сна.,2350,https://via.placeholder.com/200?text=Товар+19
20,Техника для стирки LG TWINWash,Умная техника для стирки с двумя барабанами.,2000,https://via.placeholder.com/200?text=Товар+20
21,Проектор Epson Home Cinema,Проектор с высокой яркостью и разрешением Full HD.,2150,https://via.placeholder.com/200?text=Товар+21
22,Кинотеатр на дому Samsung,Кинотеатр на дому с системой объемного звука.,2300,https://via.placeholder.com/200?text=Товар+22
23,Виртуальная реальность Oculus Quest 2,Виртуальные очки для игр и развлечений.,2450,https://via.placeholder.com/200?text=Товар+23
